donor_name,Code type,recipient_name,2017,2018,2019,2020,2021,rank
Saudi Arabia,Reproductive health care,Yemen,2.240526,0.0,0.0,5.504896,0.0,1
Saudi Arabia,Reproductive health care and family planning,Yemen,2.240526,0.0,0.0,5.504896,0.0,1
France,Family planning,Unspecified,0.876844,1.559379,1.539578,8.996784,10.088681,1
France,Family planning,Senegal,1.954696,1.667126,1.724246,1.070063,4.1222520000000005,2
France,Family planning,Chad,0.596158,1.079355,2.6100190000000003,3.0046429999999997,3.078984,3
France,Family planning,Niger,0.00252,0.004597,2.468252,7.6755390000000006,2.367667,4
France,Family planning,Haiti,0.0,0.0,0.0,0.0,2.306054,5
France,Family planning,Congo,0.0,0.0,0.0,0.0,0.012545,6
France,Family planning,Madagascar,0.665471,0.158434,0.024633,0.003638,0.007936,7
France,Family planning,Ecuador,0.0,0.0,0.0,0.0,0.00473,8
France,Family planning,Dominican Republic,0.0,0.0,0.0,0.0,0.003548,9
France,Family planning,Mali,0.0,0.0,0.0,5.991707,0.0,10
France,Family planning,"Western Africa, regional",0.0,0.0,0.540976,0.789834,0.0,11
France,Family planning,Burkina Faso,2.074789,0.23046,0.0,0.272597,0.0,12
France,Family planning,Ghana,0.0,0.0,0.0,0.023594,0.0,13
France,Family planning,Serbia,0.0,0.0,0.0,0.001198,0.0,14
France,Family planning,Pakistan,0.0,0.169625,0.202027,0.0,0.0,15
France,Family planning,Rwanda,0.0,0.0,0.181761,0.0,0.0,16
France,Family planning,Côte d'Ivoire,0.0,0.018317,0.024633,0.0,0.0,17
France,Family planning,Togo,0.0,0.0,0.024633,0.0,0.0,18
France,Family planning,"South of Sahara, regional",3.0157299999999996,2.068929,0.0,0.0,0.0,19
France,Family planning,Sri Lanka,0.0,0.380285,0.0,0.0,0.0,20
France,Family planning,Mauritania,0.789735,0.146326,0.0,0.0,0.0,21
France,Family planning,"South America, regional",0.0,0.003638,0.0,0.0,0.0,22
France,Family planning,Benin,0.59235,0.0,0.0,0.0,0.0,23
France,Reproductive health care,West Bank and Gaza Strip,0.0,0.0,0.0,0.0,4.465643,1
France,Reproductive health care,Benin,0.98725,4.924697,4.449535,3.1506,3.4011690000000003,2
France,Reproductive health care,"South of Sahara, regional",0.0,4.011953,3.736633,3.247103,2.046574,3
France,Reproductive health care,Chad,0.0,0.930344,1.378404,1.457964,1.420205,4
France,Reproductive health care,Mali,0.0,0.774963,1.456927,1.446604,1.417115,5
France,Reproductive health care,Niger,0.0,1.007517,1.483091,1.8140370000000001,1.4034739999999999,6
France,Reproductive health care,Guinea,0.0,1.114867,1.851521,1.4834260000000001,1.398076,7
France,Reproductive health care,Comoros,0.0,0.0,0.0,0.0,1.361368,8
France,Reproductive health care,Senegal,0.9892749999999999,1.374311,1.099825,0.893446,0.852598,9
France,Reproductive health care,Togo,0.0,0.876146,0.70438,0.698788,0.7546930000000001,10
France,Reproductive health care,Côte d'Ivoire,0.0,1.111748,0.865421,0.785479,0.7489049999999999,11
France,Reproductive health care,Burkina Faso,0.0,0.142152,0.0,0.0,0.5720270000000001,12
France,Reproductive health care,"Central America, regional",0.0,0.0,0.0,0.0,0.03211,13
France,Reproductive health care,Türkiye,0.0,0.0,0.0,0.0,0.008869,14
France,Reproductive health care,Albania,0.0,0.0,0.0,0.0,0.006646,15
France,Reproductive health care,Georgia,0.0,0.0,0.0,0.0,0.002956,16
France,Reproductive health care,Libya,0.0,0.0,0.0,0.599171,0.0,17
France,Reproductive health care,Haiti,4.409419,1.996005,0.554248,0.479337,0.0,18
France,Reproductive health care,Ghana,0.0,0.0,0.0,0.036593,0.0,19
France,Reproductive health care,Myanmar,0.0,0.0,0.0,0.032355,0.0,20
France,Reproductive health care,Mauritania,0.0,0.202572,0.231082,0.0,0.0,21
France,Reproductive health care,Unspecified,12.604638,0.0,0.0,0.0,0.0,22
France,Reproductive health care,Afghanistan,0.125983,0.0,0.0,0.0,0.0,23
France,Reproductive health care,Madagascar,0.043533,0.0,0.0,0.0,0.0,24
France,Reproductive health care and family planning,Unspecified,13.481482,1.559379,1.539578,8.996784,10.088681,1
France,Reproductive health care and family planning,Senegal,2.943971,3.041437,2.824071,1.963509,4.97485,2
France,Reproductive health care and family planning,Chad,0.596158,2.009699,3.988423,4.462607,4.499189,3
France,Reproductive health care and family planning,West Bank and Gaza Strip,0.0,0.0,0.0,0.0,4.465643,4
