year	Reporting.Organisation.Narrative	aid_type_di_name	Sector.Code...Calculated	DAC3.Sector.Code...Calculated	Reporting.Organisation.Type.Code	Reporting.Organisation.Type.Name...Calculated	Recipient.Code	Recipient.Name	Flow.Type.Code...Calculated	Transaction.Receiver.Organisation.Type	Transaction.Type	x_transaction_value_usd_m_Sum	purpose_name	Channel.of.delivery
2018	3ie		13030	130	21	International NGO	998	Developing countries, unspecified	NA	NA	Disbursement	0.13136211	Family planning	NA
2018	3ie		13030	130	21	International NGO	998	Developing countries, unspecified	NA	NA	Expenditure	0.122090931138	Family planning	NA
2018	Abt Associates Inc	Technical Assistance	13030	130	70	Private Sector	ZM	Zambia	50	NA	Expenditure	7.382693789566	Family planning	NA
2018	Action Against Hunger		13020	130	21	International NGO	BD	Bangladesh	NA	21	Disbursement	0.901665	Reproductive health care	NGOs and Civil Society
2018	Action Against Hunger		13020	130	21	International NGO	BD	Bangladesh	NA	21	Incoming Funds	0.901665	Reproductive health care	NGOs and Civil Society
2018	Action Against Hunger		13020	130	21	International NGO	SN	Senegal	10	21	Incoming Funds	0.011329414046	Reproductive health care	NGOs and Civil Society
2018	Action Against Hunger		13020	130	21	International NGO	SN	Senegal	NA	21	Disbursement	0.037262521703	Reproductive health care	NGOs and Civil Society
2018	Action Against Hunger		13020	130	21	International NGO	SN	Senegal	NA	21	Incoming Funds	0.025933107657	Reproductive health care	NGOs and Civil Society
2018	Action Against Hunger		13020	130	21	International NGO	SN	Senegal	NA	NA	Expenditure	0.114471768382	Reproductive health care	NA
2018	Action Against Hunger		13030	130	21	International NGO	SN	Senegal	10	21	Incoming Funds	0.011329414046	Family planning	NGOs and Civil Society
2018	Action Against Hunger		13030	130	21	International NGO	SN	Senegal	NA	21	Disbursement	0.037262521703	Family planning	NGOs and Civil Society
2018	Action Against Hunger		13030	130	21	International NGO	SN	Senegal	NA	21	Incoming Funds	0.025933107657	Family planning	NGOs and Civil Society
2018	Action Against Hunger		13030	130	21	International NGO	SN	Senegal	NA	NA	Expenditure	0.114471768382	Family planning	NA
2018	ActionAid Rwanda	Project interventions	13020	130	22	National NGO	RW	Rwanda	10	21	Outgoing Commitment	0.008756838714	Reproductive health care	NGOs and Civil Society
2018	ActionAid Rwanda	Project interventions	13020	130	22	National NGO	RW	Rwanda	10	22	Disbursement	0.073610405024	Reproductive health care	NGOs and Civil Society
2018	ActionAid Rwanda	Project interventions	13020	130	22	National NGO	RW	Rwanda	10	22	Incoming Funds	0.132814193304	Reproductive health care	NGOs and Civil Society
2018	ActionAid Rwanda	Project interventions	13020	130	22	National NGO	RW	Rwanda	10	22	Outgoing Commitment	0.140440025856	Reproductive health care	NGOs and Civil Society
2018	ActionAid Rwanda	Project interventions	13020	130	22	National NGO	RW	Rwanda	10	NA	Expenditure	0.047058776622	Reproductive health care	NA
2018	ActionAid Rwanda	Project interventions	13020	130	22	National NGO	RW	Rwanda	30	21	Outgoing Commitment	0.03451012584	Reproductive health care	NGOs and Civil Society
