donor_name,Code type,recipient_name,2016,2017,2018,2019,rank
Belgium,Reproductive health care and family planning,Benin,0.00706573,0.0,0.0,0.196872,16
Belgium,Reproductive health care and family planning,"Bilateral, unspecified",0.0,5.9231,2.27596,5.405013,9
Belgium,Reproductive health care and family planning,Bolivia,0.0858062,0.161911,0.0,0.0,15
Belgium,Reproductive health care and family planning,Burkina Faso,2.94405,3.090932,0.339078,0.5009440000000001,17
Belgium,Reproductive health care and family planning,Burundi,0.0,0.240447,0.332836,0.217356,3
Belgium,Reproductive health care and family planning,Democratic Republic of the Congo,1.238068,1.2314260000000001,1.6262800000000002,1.129214,12
Belgium,Reproductive health care and family planning,Guinea,1.41315,0.0,0.0,1.2003725,10
Belgium,Reproductive health care and family planning,Haiti,0.563726,0.572657,1.122378,0.702934,14
Belgium,Reproductive health care and family planning,Lao People's Democratic Republic,0.165188,0.0,0.0,0.0,11
Belgium,Reproductive health care and family planning,Mali,0.0,1.15647,1.13798,0.0,1
Belgium,Reproductive health care and family planning,Mozambique,0.834276,0.545951,0.7192693,0.1142953,5
Belgium,Reproductive health care and family planning,Niger,0.0,0.0,1.13798,0.0,4
Belgium,Reproductive health care and family planning,Rwanda,0.0,0.0,0.0,2.1710628,8
Belgium,Reproductive health care and family planning,Senegal,0.0,0.0,0.0,0.086354,6
Belgium,Reproductive health care and family planning,Uganda,0.0751475,0.0889841,0.0,0.0,7
Belgium,Reproductive health care and family planning,Viet Nam,0.10198090000000001,0.0,0.0,0.0,13
Belgium,Reproductive health care and family planning,West Bank and Gaza Strip,0.0,0.15665,0.0,0.0,2
Belgium,Family planning,"Bilateral, unspecified",0.0,5.9231,0.0,2.10265,2
Belgium,Family planning,Mozambique,0.281972,0.279962,0.531003,0.0,1
Belgium,Reproductive health care,Benin,0.00706573,0.0,0.0,0.196872,16
Belgium,Reproductive health care,"Bilateral, unspecified",0.0,0.0,2.27596,3.302363,9
Belgium,Reproductive health care,Bolivia,0.0858062,0.161911,0.0,0.0,15
Belgium,Reproductive health care,Burkina Faso,2.94405,3.090932,0.339078,0.5009440000000001,17
Belgium,Reproductive health care,Burundi,0.0,0.240447,0.332836,0.217356,3
Belgium,Reproductive health care,Democratic Republic of the Congo,1.238068,1.2314260000000001,1.6262800000000002,1.129214,12
Belgium,Reproductive health care,Guinea,1.41315,0.0,0.0,1.2003725,10
Belgium,Reproductive health care,Haiti,0.563726,0.572657,1.122378,0.702934,14
