Year,Donor.Name,variable,value
2011,Adaptation Fund,RMNCH (total),0.029575185
2012,Adaptation Fund,RMNCH (total),0.02853879
2014,Adaptation Fund,RMNCH (total),0.02103537
2015,Adaptation Fund,RMNCH (total),0.07543113
2016,Adaptation Fund,RMNCH (total),0.04041552
2017,Adaptation Fund,RMNCH (total),0.201301407
2018,Adaptation Fund,RMNCH (total),0.173820405
2019,Adaptation Fund,RMNCH (total),0.083593784
2020,Adaptation Fund,RMNCH (total),0.266804226
2021,Adaptation Fund,RMNCH (total),0
2011,African Development Bank,RMNCH (total),0.2849108
2012,African Development Bank,RMNCH (total),0.0829028
2013,African Development Bank,RMNCH (total),0.2800512
2014,African Development Bank,RMNCH (total),0.2455548
2015,African Development Bank,RMNCH (total),0.1442204
2016,African Development Bank,RMNCH (total),0.097830614
2017,African Development Bank,RMNCH (total),0.104852702
2018,African Development Bank,RMNCH (total),0.085666408
2019,African Development Bank,RMNCH (total),0.045815742
2020,African Development Bank,RMNCH (total),0.0192828
2021,African Development Bank,RMNCH (total),0.0474332
2011,African Development Fund,RMNCH (total),47.85572247
2012,African Development Fund,RMNCH (total),44.39446682
2013,African Development Fund,RMNCH (total),35.23917784
2014,African Development Fund,RMNCH (total),61.01550325
2015,African Development Fund,RMNCH (total),71.02397621
2016,African Development Fund,RMNCH (total),21.39136729
2017,African Development Fund,RMNCH (total),10.35899236
2018,African Development Fund,RMNCH (total),11.35633842
2019,African Development Fund,RMNCH (total),8.840784586
2020,African Development Fund,RMNCH (total),35.6320812
2021,African Development Fund,RMNCH (total),22.38423503
2011,Arab Bank for Economic Development in Africa,RMNCH (total),3.78174755
2012,Arab Bank for Economic Development in Africa,RMNCH (total),2.5215576
2013,Arab Bank for Economic Development in Africa,RMNCH (total),2.93215565
2014,Arab Bank for Economic Development in Africa,RMNCH (total),3.15282235
2015,Arab Bank for Economic Development in Africa,RMNCH (total),5.52245486
2019,Arab Bank for Economic Development in Africa,RMNCH (total),0
2020,Arab Bank for Economic Development in Africa,RMNCH (total),0
2011,Arab Fund (AFESD),RMNCH (total),1.39005177
2012,Arab Fund (AFESD),RMNCH (total),2.244719676
2013,Arab Fund (AFESD),RMNCH (total),0.669975038
2014,Arab Fund (AFESD),RMNCH (total),2.479431672
2015,Arab Fund (AFESD),RMNCH (total),1.380050568
2016,Arab Fund (AFESD),RMNCH (total),2.251159293
2017,Arab Fund (AFESD),RMNCH (total),1.728480464
2018,Arab Fund (AFESD),RMNCH (total),2.755545516
2019,Arab Fund (AFESD),RMNCH (total),1.831969042
2020,Arab Fund (AFESD),RMNCH (total),0.695685052
2021,Arab Fund (AFESD),RMNCH (total),0.595976
2011,Asian Development Bank,RMNCH (total),48.06730937
2012,Asian Development Bank,RMNCH (total),41.42271153
2013,Asian Development Bank,RMNCH (total),53.94418324
2014,Asian Development Bank,RMNCH (total),54.68028997
2015,Asian Development Bank,RMNCH (total),60.00487221
2016,Asian Development Bank,RMNCH (total),50.54078015
2017,Asian Development Bank,RMNCH (total),45.20267057
2018,Asian Development Bank,RMNCH (total),72.06688343
2019,Asian Development Bank,RMNCH (total),65.15618516
2020,Asian Development Bank,RMNCH (total),302.6834666
2021,Asian Development Bank,RMNCH (total),82.9682329
2017,Asian Infrastructure Investment Bank,RMNCH (total),0
2018,Asian Infrastructure Investment Bank,RMNCH (total),0
2019,Asian Infrastructure Investment Bank,RMNCH (total),0
2020,Asian Infrastructure Investment Bank,RMNCH (total),0
2021,Asian Infrastructure Investment Bank,RMNCH (total),0
2011,Australia,RMNCH (total),244.5857214
2012,Australia,RMNCH (total),250.603234
2013,Australia,RMNCH (total),210.31668
2014,Australia,RMNCH (total),188.613172
2015,Australia,RMNCH (total),167.091264
2016,Australia,RMNCH (total),109.8362913
2017,Australia,RMNCH (total),119.4064562
2018,Australia,RMNCH (total),159.3686266
2019,Australia,RMNCH (total),118.6229882
2020,Australia,RMNCH (total),111.9249382
2021,Australia,RMNCH (total),207.6232545
2011,Austria,RMNCH (total),8.0225308
2012,Austria,RMNCH (total),5.569681758
2013,Austria,RMNCH (total),4.958078667
2014,Austria,RMNCH (total),7.48880538
2015,Austria,RMNCH (total),4.188567288
2016,Austria,RMNCH (total),9.180263399
2017,Austria,RMNCH (total),6.180486712
2018,Austria,RMNCH (total),4.821242019
2019,Austria,RMNCH (total),5.352611113
2020,Austria,RMNCH (total),5.552334706
2021,Austria,RMNCH (total),10.42484797
2014,Azerbaijan,RMNCH (total),0.483454118
2015,Azerbaijan,RMNCH (total),0.084534684
2016,Azerbaijan,RMNCH (total),0.079585311
2017,Azerbaijan,RMNCH (total),0.064313367
2018,Azerbaijan,RMNCH (total),0.05062953
2019,Azerbaijan,RMNCH (total),0.095470628
2020,Azerbaijan,RMNCH (total),0.064848244
