year,Reporting Organisation Narrative,aid_type_di_name,Sector Code - Calculated,DAC3 Sector Code - Calculated,Reporting Organisation Type Code,Reporting Organisation Type Name - Calculated,Recipient Code,Recipient Name,Flow Type Code - Calculated,Transaction Receiver Organisation Type,Transaction Type,x_transaction_value_usd_m_Sum
2018.0,3ie,,Family planning,130.0,21,International NGO,998,"Developing countries, unspecified",,,Disbursement,0.13136211
2018.0,3ie,,Family planning,130.0,21,International NGO,998,"Developing countries, unspecified",,,Expenditure,0.122090931138
2018.0,Abt Associates Inc,Technical Assistance,Family planning,130.0,70,Private Sector,ZM,Zambia,50.0,,Expenditure,7.382693789566001
2018.0,Action Against Hunger,,Reproductive health care,130.0,21,International NGO,BD,Bangladesh,,NGOs and Civil Society,Disbursement,0.901665
2018.0,Action Against Hunger,,Reproductive health care,130.0,21,International NGO,SN,Senegal,,NGOs and Civil Society,Disbursement,0.037262521703000005
2018.0,Action Against Hunger,,Reproductive health care,130.0,21,International NGO,SN,Senegal,,,Expenditure,0.11447176838199999
2018.0,Action Against Hunger,,Family planning,130.0,21,International NGO,SN,Senegal,,NGOs and Civil Society,Disbursement,0.037262521703000005
2018.0,Action Against Hunger,,Family planning,130.0,21,International NGO,SN,Senegal,,,Expenditure,0.11447176838199999
2018.0,ActionAid Rwanda,Project interventions,Reproductive health care,130.0,22,National NGO,RW,Rwanda,10.0,NGOs and Civil Society,Disbursement,0.07361040502399999
2018.0,ActionAid Rwanda,Project interventions,Reproductive health care,130.0,22,National NGO,RW,Rwanda,10.0,,Expenditure,0.04705877662199999
2018.0,ActionAid Rwanda,Project interventions,Reproductive health care,130.0,22,National NGO,RW,Rwanda,30.0,NGOs and Civil Society,Disbursement,0.16393529359400003
2018.0,ActionAid Rwanda,Project interventions,Reproductive health care,130.0,22,National NGO,RW,Rwanda,30.0,,Expenditure,0.05827077520400001
2018.0,Action Canada for Sexual Health and Rights,Project interventions,Reproductive health care,130.0,21,International NGO,CH,Switzerland,30.0,,Expenditure,0.17917225
2018.0,AECID Spanish Agency for International Development Cooperation,Project interventions,Reproductive health care,130.0,10,Government,EH,Western Sahara,10.0,,Disbursement,0.1644541665
2018.0,AECID Spanish Agency for International Development Cooperation,Project interventions,Reproductive health care,130.0,10,Government,ML,Mali,10.0,,Disbursement,1.2803620125000001
2018.0,AECID Spanish Agency for International Development Cooperation,Project interventions,Reproductive health care,130.0,10,Government,PE,Peru,10.0,,Disbursement,0.243684375
2018.0,AECID Spanish Agency for International Development Cooperation,Project interventions,Reproductive health care,130.0,10,Government,PS,"Palestine, State of",10.0,,Disbursement,0.110765625
2018.0,AECID Spanish Agency for International Development Cooperation,Project interventions,Reproductive health care,130.0,10,Government,SV,El Salvador,10.0,,Disbursement,0.3839875
2018.0,AECID Spanish Agency for International Development Cooperation,Project interventions,Family planning,130.0,10,Government,NE,Niger (the),10.0,,Disbursement,0.072366875
2018.0,AECID Spanish Agency for International Development Cooperation,Specific purpose funds,Reproductive health care,130.0,10,Government,998,"Developing countries, unspecified",10.0,,Disbursement,0.11815
2018.0,AFD,Project interventions,Reproductive health care,130.0,10,Government,BJ,Benin,10.0,,Disbursement,3.9393446343200003
2018.0,AFD,Project interventions,Reproductive health care,130.0,10,Government,SN,Senegal,10.0,,Disbursement,0.5172898121599999
2018.0,AFD,Project interventions,Family planning,130.0,10,Government,BF,Burkina Faso,21.0,,Disbursement,0.61142625
2018.0,AFD,Project interventions,Family planning,130.0,10,Government,MG,Madagascar,10.0,,Disbursement,0.1216945
2018.0,AFD,Project interventions,Family planning,130.0,10,Government,MR,Mauritania,10.0,,Disbursement,0.13858420791
2018.0,AFD,Project interventions,Family planning,130.0,10,Government,SN,Senegal,10.0,,Disbursement,1.5621832698400002
2018.0,AFD,Project interventions,Family planning,130.0,10,Government,SN,Senegal,21.0,,Disbursement,0.74729875
2018.0,AFD,Project interventions,Family planning,130.0,10,Government,TD,Chad,10.0,,Disbursement,1.022248273375
2018.0,AFEW International,Project interventions,Reproductive health care,130.0,21,International NGO,GE,Georgia,10.0,,Disbursement,0.016833303100000002
2018.0,AFEW International,Project interventions,Reproductive health care,130.0,21,International NGO,GE,Georgia,10.0,,Expenditure,0.018695101348000003
2018.0,AFEW International,Project interventions,Reproductive health care,130.0,21,International NGO,KG,Kyrgyzstan,10.0,,Disbursement,0.06104869575
2018.0,AFEW International,Project interventions,Reproductive health care,130.0,21,International NGO,KG,Kyrgyzstan,10.0,,Expenditure,0.06839555812499999
