donor_name,Code type,recipient_name,2018,2019,2020,2021,2022,rank
"Omidyar Network Fund, Inc.",Family planning,Unspecified,0.008293301999999999,0.0,0.0,0.0,0.0,1
"Omidyar Network Fund, Inc.",Reproductive health care and family planning,Unspecified,0.008293301999999999,0.0,0.0,0.0,0.0,1
Australia,Family planning,Unspecified,3.903298906,4.174645119999999,4.2343277,5.417925058,2.7730549939999998,1
Australia,Family planning,Myanmar,0.0,0.0,0.0,0.276255508,1.6262699459999999,2
Australia,Family planning,"Oceania, regional",0.0,0.433217834,0.585391158,0.541995326,0.876165516,3
Australia,Family planning,"Asia, regional",0.0,0.039383798,0.0,0.0,0.71414994,4
Australia,Family planning,Philippines,0.0,0.0,0.0,1.862375534,0.521427366,5
Australia,Family planning,Papua New Guinea,2.52146822,1.1163442700000001,1.038523234,5.0716753820000005,0.5171471400000001,6
Australia,Family planning,Fiji,0.070721836,0.49229303799999996,0.48782547200000004,0.20869183,0.483891332,7
Australia,Family planning,Vanuatu,0.00013113800000000002,0.49441491,0.48782547200000004,0.09202239400000001,0.47812717600000004,8
Australia,Family planning,Solomon Islands,0.0,0.49229303799999996,0.48782547200000004,0.171394408,0.45766373200000005,9
Australia,Family planning,Tonga,0.0,0.49231374399999994,0.48782547200000004,0.04965496,0.456947896,10
Australia,Family planning,Kiribati,0.0,0.49229303799999996,0.48782547200000004,0.048751784,0.456947896,11
Australia,Family planning,Samoa,0.0,0.49229303799999996,0.48782547200000004,0.048751784,0.456947896,12
Australia,Family planning,Lao People's Democratic Republic,0.0,0.001048118,0.0,0.502365028,0.36931024399999995,13
Australia,Family planning,Nepal,9.5642e-05,0.003323806,0.0,1.226937974,0.32934865,14
Australia,Family planning,Cambodia,0.0,0.0,0.0,1.531699728,0.090410284,15
Australia,Family planning,Indonesia,0.040619256000000006,0.057102217999999996,0.054781173999999995,1.555596424,0.060943674,16
Australia,Family planning,Sri Lanka,0.0,0.03407616,0.0,0.14625338,0.05913535,17
