donor_name,aid_type_di_name,year,purpose_name,purpose_code,usd_disbursement_deflated_Sum
Asian Development Bank,Budget support,2017,Reproductive health care,13020,0.0
Asian Development Bank,Budget support,2018,Reproductive health care,13020,
Asian Development Bank,Budget support,2019,Reproductive health care,13020,0.0
Asian Development Bank,Budget support,2020,Reproductive health care,13020,
Asian Development Bank,Budget support,2021,Reproductive health care,13020,
Asian Development Bank,Budget support,2022,Reproductive health care,13020,
Asian Development Bank,Project interventions,2017,Reproductive health care,13020,0.45327618
Asian Development Bank,Project interventions,2018,Reproductive health care,13020,0.7238518139999999
Asian Development Bank,Project interventions,2019,Reproductive health care,13020,0.149241204
Asian Development Bank,Project interventions,2020,Reproductive health care,13020,0.36578362799999997
Asian Development Bank,Project interventions,2021,Reproductive health care,13020,
Asian Development Bank,Project interventions,2022,Reproductive health care,13020,
Asian Development Bank,Technical assistance,2017,Reproductive health care,13020,0.012952127999999999
Asian Development Bank,Technical assistance,2020,Reproductive health care,13020,0.0011881799999999998
Asian Development Bank,Technical assistance,2021,Reproductive health care,13020,0.070760466
Asian Development Bank,Technical assistance,2022,Reproductive health care,13020,0.123379452
Australia,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,1.4966888399999998
Australia,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,1.4966888399999998
Australia,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,1.46373672
Australia,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,2.276924444
Australia,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,1.5025032820000002
Australia,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,1.5025032820000002
Australia,Project interventions,2017,Family planning,13030,7.945599162000001
Australia,Project interventions,2017,Reproductive health care,13020,12.984596532000001
Australia,Project interventions,2018,Family planning,13030,5.167896164000001
Australia,Project interventions,2018,Reproductive health care,13020,14.503847024
Australia,Project interventions,2019,Family planning,13030,8.894937709999995
Australia,Project interventions,2019,Reproductive health care,13020,10.122239517999995
Australia,Project interventions,2020,Family planning,13030,7.337472816
Australia,Project interventions,2020,Reproductive health care,13020,7.437074591999999
Australia,Project interventions,2021,Family planning,13030,24.172422026000014
Australia,Project interventions,2021,Reproductive health care,13020,27.71914783600001
Australia,Project interventions,2022,Family planning,13030,9.322278984000002
Australia,Project interventions,2022,Reproductive health care,13020,5.596127796
Australia,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.522651978
Australia,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,1.5598431259999999
Australia,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,1.5598431259999999
Australia,Technical assistance,2017,Reproductive health care,13020,0.009685478
Austria,Project interventions,2017,Reproductive health care,13020,0.2727624
Austria,Project interventions,2018,Reproductive health care,13020,0.039218208000000004
Austria,Project interventions,2019,Family planning,13030,0.012619872
Austria,Project interventions,2019,Reproductive health care,13020,0.15034156799999993
Austria,Project interventions,2020,Family planning,13030,0.0026847040000000004
Austria,Project interventions,2020,Reproductive health care,13020,0.12698009600000001
Austria,Project interventions,2021,Family planning,13030,0.036216128
Austria,Project interventions,2021,Reproductive health care,13020,0.26785327999999997
Austria,Project interventions,2022,Family planning,13030,0.16357392
Austria,Project interventions,2022,Reproductive health care,13020,0.290511328
Austria,Technical assistance,2021,Reproductive health care,13020,0.000219936
Austria,Technical assistance,2022,Reproductive health care,13020,0.0017789760000000003
Azerbaijan,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.00131376
Belgium,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,2.614364987
Belgium,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,3.5866297219999996
Belgium,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,2.716384385
Belgium,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,2.099058936
Belgium,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,1.984147373
Belgium,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,3.5457306689999997
Belgium,Non-transfer,2019,Reproductive health care,13020,0.027086358
Belgium,Project interventions,2017,Family planning,13030,4.075947407999999
Belgium,Project interventions,2017,Reproductive health care,13020,4.5196950629999995
Belgium,Project interventions,2018,Family planning,13030,0.556782096
Belgium,Project interventions,2018,Reproductive health care,13020,2.583856535
Belgium,Project interventions,2019,Family planning,13030,2.2024249649999996
Belgium,Project interventions,2019,Reproductive health care,13020,4.110314494000001
Belgium,Project interventions,2020,Family planning,13030,0.34653494199999996
Belgium,Project interventions,2020,Reproductive health care,13020,16.685421441
Belgium,Project interventions,2021,Family planning,13030,0.255879819
Belgium,Project interventions,2021,Reproductive health care,13020,22.390377646
Belgium,Project interventions,2022,Family planning,13030,0.207068953
Belgium,Project interventions,2022,Reproductive health care,13020,20.951508591
Belgium,Specific-purpose programmes and funds managed by implementing partners,2017,Family planning,13030,2.423428085
Belgium,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,2.3864493509999996
Belgium,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,3.224553956
Belgium,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,2.3102294669999996
Belgium,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.993398965
Belgium,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,2.244559616
Belgium,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,0.8417098559999999
Belgium,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,2.102223851
Belgium,Technical assistance,2017,Reproductive health care,13020,0.16413334599999999
Belgium,Technical assistance,2020,Reproductive health care,13020,0.154261848
Belgium,Technical assistance,2021,Reproductive health care,13020,0.142704926
Belgium,Technical assistance,2022,Reproductive health care,13020,0.44305014
Bulgaria,Project interventions,2022,Reproductive health care,13020,0.010633728
Canada,Basket funds/pooled funding,2017,Family planning,13030,1.5881197779999998
Canada,Basket funds/pooled funding,2017,Reproductive health care,13020,3.209106572
Canada,Basket funds/pooled funding,2018,Family planning,13030,3.592693811
Canada,Basket funds/pooled funding,2018,Reproductive health care,13020,5.376170618000001
Canada,Basket funds/pooled funding,2019,Family planning,13030,6.745284384999999
Canada,Basket funds/pooled funding,2019,Reproductive health care,13020,8.756503370999999
Canada,Basket funds/pooled funding,2020,Family planning,13030,8.526787836
Canada,Basket funds/pooled funding,2020,Reproductive health care,13020,10.545521636999998
Canada,Basket funds/pooled funding,2021,Family planning,13030,10.050223883
Canada,Basket funds/pooled funding,2021,Reproductive health care,13020,15.684132316999998
Canada,Basket funds/pooled funding,2022,Family planning,13030,7.4293317629999995
Canada,Basket funds/pooled funding,2022,Reproductive health care,13020,14.531694499
Canada,Budget support,2018,Family planning,13030,0.0
Canada,Budget support,2018,Reproductive health care,13020,0.0
Canada,Budget support,2019,Family planning,13030,2.1388800999999997
Canada,Budget support,2019,Reproductive health care,13020,2.683832998
Canada,Budget support,2020,Family planning,13030,2.193942156
Canada,Budget support,2020,Reproductive health care,13020,2.197458109
Canada,Budget support,2021,Family planning,13030,0.017330487999999998
Canada,Budget support,2021,Reproductive health care,13020,0.023074288999999998
Canada,Budget support,2022,Family planning,13030,0.006240268999999999
Canada,Budget support,2022,Reproductive health care,13020,0.015902621
Canada,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,0.046008815999999994
Canada,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,0.11962271299999999
Canada,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,0.5515915929999999
